"Story","Title","Result","Date","Stability","Duration (s)"
"hacer pedido","Hacer un pedido con los usuarios y productos regitrados","FAILURE","2024-02-01T13:26:08.6179609-05:00[America/Bogota]","0.0","29.85"
"User Sign In","AdvantageDemo Platform Sign in","ERROR","2024-02-01T12:24:51.8453836-05:00[America/Bogota]","0.0","11.75"
